"","nombre","cod_muni","dep","mun","cod_mun_","codpais","shape_leng","shape_area","km2","densidad"
"1","San Buenaventura","0818",8,18,818,"HN",35780.2504877,62266608.4173,62.2666,31.2527
"2","San Ignacio","0819",8,19,819,"HN",88963.930575,331043080.007,331.043,21.4896
"3","San Juan de Flores","0820",8,20,820,"HN",88899.8828173,380165340.608,380.165,27.2618
"4","San Miguelito","0821",8,21,821,"HN",29470.6062314,42428454.1745,42.4285,44.8755
"5","Santa Ana","0822",8,22,822,"HN",63358.8053818,95502157.6434,95.5022,89.5163
"6","Santa Lucia","0823",8,23,823,"HN",32166.0892808,57860918.0474,57.8609,115.657
"7","Talanga","0824",8,24,824,"HN",114259.597579,429435723.606,429.436,62.5845
"8","Tatumbla","0825",8,25,825,"HN",38738.1433312,78784493.4344,78.7845,59.6818
"9","Distrito Central","0801",8,1,801,"HN",233363.864006,1501625885.42,1501.63,566.204
"10","Valle de Angeles","0826",8,26,826,"HN",57192.0090639,105953927.101,105.954,98.6655
"11","Villa de San Francisco","0827",8,27,827,"HN",46310.5138672,78356949.1091,78.3569,98.8425
"12","Vallecillo","0828",8,28,828,"HN",73569.8649872,220012267.382,220.012,28.8757
"13","Alubaren","0802",8,2,802,"HN",32214.7191271,46255899.3949,46.2559,107.078
"14","Cedros","0803",8,3,803,"HN",170026.953105,780379254.426,780.379,22.7082
"15","Curaren","0804",8,4,804,"HN",82935.8280033,307640146.353,307.64,55.4674
"16","El Porvenir","0805",8,5,805,"HN",132775.008849,415710586.548,415.711,34.1223
"17","Guaimaca","0806",8,6,806,"HN",139316.921316,780209760.076,780.21,26.648
"18","La Libertad","0807",8,7,807,"HN",30730.0907971,38869245.6102,38.8692,69.0006
"19","La Venta","0808",8,8,808,"HN",52631.7807114,126333692.085,126.334,45.2848
"20","Lepaterique","0809",8,9,809,"HN",107312.349283,566545394.199,566.545,23.6715
"21","Maraita","0810",8,10,810,"HN",77322.2355218,263279189.434,263.279,20.9397
"22","Marale","0811",8,11,811,"HN",91587.4965818,402297350.556,402.297,17.2907
"23","Nueva Armenia","0812",8,12,812,"HN",73051.1269792,181991498.577,181.992,12.9951
"24","Ojojona","0813",8,13,813,"HN",84314.8580382,240868012.356,240.868,33.4789
"25","Orica","0814",8,14,814,"HN",119620.659972,398947652.132,398.948,26.5072
"26","Reitoca","0815",8,15,815,"HN",63055.7872131,194416371.457,194.416,48.6996
"27","Sabanagrande","0816",8,16,816,"HN",88487.9017901,242453641.796,242.454,63.6905
"28","San Antonio de Oriente","0817",8,17,817,"HN",73092.7991429,211232808.821,211.233,57.1076
