departamento,,winner27,winner29,winner30,winnerpn
Atlantida,Atlantida,orange,orange,orange,orange
Choluteca,Cortes,orange,blue,blue,blue
Colon,Choluteca,orange,orange,orange,orange
Comayagua,Colon,blue,blue,blue,blue
Copan,Comayagua,orange,orange,blue,blue
Cortes,Copan,orange,orange,orange,orange
El Paraiso,El Paraiso,blue,blue,blue,blue
Fco. Morazan,Francisco Morazan,blue,blue,blue,blue
Gracias a Dios,Gracias a Dios,blue,blue,blue,blue
Intibuca,Intibuca,blue,blue,blue,blue
Islas de la Bahia,Islas de la Bahia,orange,orange,orange,orange
La Paz,La Paz,blue,blue,blue,blue
Lempira,Lempira,blue,blue,blue,blue
Ocotepeque,Ocotepeque,blue,blue,blue,blue
Olancho,Olancho,orange,orange,blue,blue
Santa Barbara,Santa Barbara,orange,orange,orange,orange
Valle,Valle,blue,blue,blue,blue
Yoro,Yoro,orange,orange,orange,orange
